epoch,train_loss,val_loss
1,0.8942568553772765,0.41678966936610995
2,0.6366919433781845,0.32878731262116206
3,0.5268565638048839,0.22536400386265346
4,0.45261731712875897,0.258474995692571
5,0.41759006869834187,0.2686214915343693
6,0.4056997229071224,0.24086963562738328
7,0.37992357026953183,0.21277224378926413
8,0.3468743325517252,0.20992226898670197
9,0.3314388571210386,0.21605180274872554
10,0.317937249955834,0.20353747620469048
11,0.3215171444168553,0.2417905330657959
12,0.2941943417370938,0.31745985859916326
13,0.30001297201252314,0.310161611863545
14,0.28070961036896624,0.2836070656776428
15,0.2576425735513232,0.32025703929719473
16,0.24187319475680485,0.3003401742095039
17,0.23315593760112577,0.2863008223828815
18,0.21951012091653158,0.2728643133526757
19,0.21062234869052796,0.2835338952995482
20,0.2036096695230494,0.34085198243459064
21,0.1914821751802438,0.41000276520138695
22,0.18750742077827454,0.3739654563722156
23,0.20199091644848094,0.39606323696318124
24,0.19229983345035037,0.27206109393210637
25,0.19099500316443327,0.31524867103213355
26,0.18144141957421617,0.35503967319216045
27,0.1662302689311001,0.3589776470547631
28,0.15724581113942354,0.353329340616862
29,0.16264528412513668,0.37954983824775335
30,0.1576393048140417,0.3784211788858686
