model,horizon,target,method,nRMSE,nMAE,NSE,KGE
LSTM-KAN,2,Cryptophyta,Base,0.5042982103514133,0.3828692244010443,0.08847613317157343,0.3007167030619713
LSTM-KAN,2,Cryptophyta,BU,0.5042982103514133,0.3828692244010443,0.08847613317157343,0.3007167030619713
LSTM-KAN,2,Cryptophyta,TD,0.627856592769382,0.4738348906163174,-0.4129087294696905,-0.0026981797093343918
LSTM-KAN,2,Cryptophyta,OLS,0.5090997883235147,0.3870585525515476,0.07103570196091624,0.29701765915174827
LSTM-KAN,2,Cryptophyta,WLS,0.5072742186978396,0.38545890261463595,0.07768606175009651,0.29841533678658694
LSTM-KAN,2,Cryptophyta,MinT,0.5062870570408926,0.384599189775999,0.08127223674731288,0.2991754602824216
LSTM-KAN,3,Algae_Sum,Base,0.45165079777245415,0.3615033837593114,0.06573753421830686,0.10923020188057653
LSTM-KAN,3,Algae_Sum,BU,0.44567061737791386,0.35640763564725675,0.09031435233153617,0.13100966853386353
LSTM-KAN,3,Algae_Sum,TD,0.45165079777245415,0.3615033837593114,0.06573753421830686,0.10923020188057653
LSTM-KAN,3,Algae_Sum,OLS,0.45043880623922294,0.36046204316605174,0.0707449378706555,0.11361475169166169
LSTM-KAN,3,Algae_Sum,WLS,0.4486356772340106,0.3589000322761623,0.07816975582133179,0.1201658697724346
LSTM-KAN,3,Algae_Sum,MinT,0.4476735368516485,0.3580739823209826,0.08211941518666677,0.12367500201424786
LSTM-KAN,3,Green_Algae,Base,3.6723065567230218,3.1295134578674926,-2.1130267458406737,-1.837986995504357
LSTM-KAN,3,Green_Algae,BU,3.6723065567230218,3.1295134578674926,-2.1130267458406737,-1.837986995504357
LSTM-KAN,3,Green_Algae,TD,4.877909973229794,4.6415780200785255,-4.492531512040483,-3.498473310037032
LSTM-KAN,3,Green_Algae,OLS,3.6649398923646603,3.1205450702518984,-2.1005497800177206,-1.8275197950322104
LSTM-KAN,3,Green_Algae,WLS,3.6676660121814186,3.1239082156077473,-2.1051641060796693,-1.831441432811277
LSTM-KAN,3,Green_Algae,MinT,3.666203728012629,3.1221109436860917,-2.1026885659773167,-1.8293451648442818
LSTM-KAN,3,Cyanobacteria,Base,0.5135698066908977,0.4177051225913103,0.023871765802204514,0.09729522233529964
LSTM-KAN,3,Cyanobacteria,BU,0.5135698066908977,0.4177051225913103,0.023871765802204514,0.09729522233529964
LSTM-KAN,3,Cyanobacteria,TD,0.611947433936768,0.5017841138597101,-0.3859135614134215,-0.20808836050679047
LSTM-KAN,3,Cyanobacteria,OLS,0.5172342479942499,0.4210364566460927,0.009892260723370794,0.08365009678024127
LSTM-KAN,3,Cyanobacteria,WLS,0.5158555458526608,0.41978720637554934,0.015163544898495251,0.0888115227993509
LSTM-KAN,3,Cyanobacteria,MinT,0.5145556404293188,0.418604819155079,0.02012067399149231,0.09364737274749568
LSTM-KAN,3,Diatoms,Base,0.9089604224972919,0.6734401405437873,-0.056314003425374626,0.057695913874280635
LSTM-KAN,3,Diatoms,BU,0.9089604224972919,0.6734401405437873,-0.056314003425374626,0.057695913874280635
LSTM-KAN,3,Diatoms,TD,0.9469075648812562,0.7432996605615373,-0.14635270986089965,-0.20166253687205526
LSTM-KAN,3,Diatoms,OLS,0.914700013510415,0.6776785679746371,-0.06969621872671072,0.04827605765362075
LSTM-KAN,3,Diatoms,WLS,0.9125305254685613,0.6760786328998503,-0.0646280193007569,0.05183156733691818
LSTM-KAN,3,Diatoms,MinT,0.9096180261754295,0.6739269398634037,-0.057842974830801586,0.056614139745781
LSTM-KAN,3,Cryptophyta,Base,0.5677280137098387,0.4306145412220836,-0.15709137524715566,0.15293035687868262
LSTM-KAN,3,Cryptophyta,BU,0.5677280137098387,0.4306145412220836,-0.15709137524715566,0.15293035687868262
LSTM-KAN,3,Cryptophyta,TD,0.6617046686480116,0.49951257361091095,-0.5718655844815046,-0.1410393236506986
LSTM-KAN,3,Cryptophyta,OLS,0.5703209225576431,0.43264328347668257,-0.16768477093613643,0.1456043410347979
LSTM-KAN,3,Cryptophyta,WLS,0.56934255298608,0.43188250513120796,-0.1636819462003165,0.14835333408610873
LSTM-KAN,3,Cryptophyta,MinT,0.5689715411250624,0.43159252951320975,-0.16216581454745493,0.14940060504427655
