epoch,train_loss,val_loss
1,0.7113417971711671,0.34960711002349854
2,0.4387250903568466,0.2634025641850063
3,0.40046017526755284,0.3292385112671625
4,0.4004189144162571,0.2824113468329112
5,0.35780862437812516,0.31284045037769137
6,0.34341795943600084,0.5351514248620897
7,0.32112926739722386,0.34709090136346366
8,0.2947384012817924,0.4488877285094488
9,0.2797137644257925,0.49468637931914555
10,0.27283350303511306,0.45241609925315496
11,0.23949480422846586,0.4759392511276972
12,0.21458107274296376,0.5246531395685106
13,0.23952463153221204,0.5228207735788255
14,0.19257625473411852,0.5930978173301333
15,0.1832537792339457,0.5232619103931245
16,0.15762726459845539,0.5746012131373087
17,0.15597616380989346,0.5513042665663219
18,0.15820863858432505,0.5375871005512419
19,0.13790121148614323,0.6101981628508795
20,0.11830233041338854,0.6434307268687657
21,0.12271489883582898,0.583184974534171
22,0.1268197665680651,0.5813543030193874
