target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Cyanobacteria,LSTM_KAN,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,64,5,3,3,0.38721067368159245,0.3369891047477722,0.379097816621889,0.28904514123483244,0.14333156214067214,0.2898008316262951,0.34494916677137427,0.3861944499861016,0.40614983310819114
Cyanobacteria,LSTM_KAN,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,64,5,3,5,0.314693782156314,0.36547897117478506,0.3917108462273551,0.3010292091565993,0.08086607004857949,0.34480785628409594,0.33963958944586714,0.40365992096872216,0.431833028267476
Cyanobacteria,LSTM_KAN,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,64,5,3,6,0.3506789469388942,0.4321921481972649,0.42584480722766704,0.3363793492324914,-0.08900775067935611,0.3559546540101115,0.3634123427904041,0.4363546827493987,0.4777673961431983
Cyanobacteria,LSTM_KAN,trial_0004,hidden_dim,30,1,128,0.0,0.002,64,0.0,,,64,5,3,8,0.27520352782468893,0.2991951008637746,0.3594699569280275,0.2711186378045993,0.21754048448734076,0.47523134919561594,0.2900589308282364,0.3727690511598161,0.4155818887960301
Cyanobacteria,LSTM_KAN,trial_0005,kan_hidden_dim,30,1,128,0.0,0.002,64,0.0,,,32,5,3,3,0.39053342764662213,0.335633852652141,0.37714583271634505,0.28570877357938773,0.1527629705299515,0.28778570762165473,0.34620289332510906,0.3838944269582679,0.4013401778656583
Cyanobacteria,LSTM_KAN,trial_0006,kan_hidden_dim,30,1,128,0.0,0.002,64,0.0,,,128,5,3,3,0.36455983635051026,0.33326326097760883,0.3774684400067138,0.2863949557435705,0.1510206054525025,0.38192933426684306,0.3455535491011513,0.3828398418625067,0.4040119290564835
Cyanobacteria,LSTM_KAN,trial_0007,grid_size,30,1,128,0.0,0.002,64,0.0,,,64,3,3,6,0.3051428464869727,0.34990558453968595,0.385042605718437,0.3033088676598576,0.10569585815372817,0.4140827695027371,0.3178561137743081,0.39886881549709075,0.43840288788391213
Cyanobacteria,LSTM_KAN,trial_0008,grid_size,30,1,128,0.0,0.002,64,0.0,,,64,7,3,3,0.37594464493457835,0.32492327264377047,0.37125513976509267,0.2808083522400915,0.17752923238742566,0.35755048960424024,0.33397948329558796,0.3786041502739208,0.4011817857257691
Cyanobacteria,LSTM_KAN,trial_0009,spline_order,30,1,128,0.0,0.002,64,0.0,,,64,5,2,8,0.2699456716078788,0.2750803856622605,0.34801417022831,0.25612902799784304,0.26330489290713804,0.4621090055065491,0.2737704686795114,0.36189231605396394,0.4083797259514548
Cyanobacteria,LSTM_KAN,trial_0010,lr,30,1,128,0.0,0.001,64,0.0,,,64,5,2,5,0.3785275439490084,0.37928782474427,0.3969230285315864,0.3078046628397572,0.06248332228474288,0.2357590696713366,0.3693001835652668,0.40284395569527814,0.4186249463342144
Cyanobacteria,LSTM_KAN,trial_0011,lr,30,1,128,0.0,0.003,64,0.0,,,64,5,2,5,0.2798316645787249,0.3149930919919695,0.36953388572972057,0.28190273448111425,0.1742976436447715,0.47331531670380195,0.3002596800855946,0.3843008054359544,0.4240411716676126
Cyanobacteria,LSTM_KAN,trial_0012,dropout,30,1,128,0.1,0.002,64,0.0,,,64,5,2,10,0.23480253844525162,0.31488584762527827,0.3659286520673033,0.27640129269898145,0.18367422807976275,0.3712735594452579,0.28486971379329395,0.3797022156545736,0.43321402675404225
Cyanobacteria,LSTM_KAN,trial_0013,dropout,30,1,128,0.2,0.002,64,0.0,,,64,5,2,8,0.28540256338445374,0.28774140704245793,0.35560646954495817,0.26933685301368027,0.23510950171133874,0.46702135782452686,0.28829560847003544,0.37011599125152606,0.4084078089133131
Cyanobacteria,LSTM_KAN,trial_0014,batch_size,30,1,128,0.0,0.002,32,0.0,,,64,5,2,5,0.26338150220758777,0.34611092862628756,0.38425599186182363,0.28864729192095256,0.10482043786315436,0.400736180624972,0.3080680392611774,0.3981823338409796,0.44651760248331407
Cyanobacteria,LSTM_KAN,trial_0015,weight_decay,30,1,128,0.0,0.002,64,0.0001,,,64,5,2,8,0.28001420849541064,0.3067464672383808,0.3633059412300772,0.2787335151773887,0.2011268496193853,0.47581626473039645,0.29355356249987297,0.3779070150636756,0.4184572461266831
Cyanobacteria,LSTM_KAN,trial_0001,grid,30,1,256,0.0,0.001,64,0.0,,,64,3,3,5,0.358602504416733,0.3035742115406763,0.3660286957795756,0.2717504469160711,0.20049220569834003,0.3109357174871657,0.3287959120765081,0.37444329458757036,0.39484688067464846
Cyanobacteria,LSTM_KAN,trial_0002,grid,30,1,256,0.0,0.002,64,0.0,,,64,3,3,5,0.3171169382478127,0.27955484248342966,0.3564408605708021,0.2617146904585162,0.23667410403567926,0.4090867410958947,0.3017070710347082,0.3699794493050044,0.39763606137269375
Cyanobacteria,LSTM_KAN,trial_0003,grid,30,1,256,0.0,0.001,64,0.0,,,64,5,3,5,0.3540986722728373,0.2996951753184909,0.36453010745703773,0.27169506130514837,0.20702561692120333,0.3174394927304553,0.32748852504814707,0.37277965669117896,0.3933221406317871
Cyanobacteria,LSTM_KAN,trial_0004,grid,30,1,256,0.0,0.002,64,0.0,,,64,5,3,5,0.31330641206985527,0.25995253239359173,0.3472946383154046,0.25000826214204497,0.2737385648031984,0.43839829739830405,0.28943922641980574,0.3612804158290038,0.3911642726974042
Cyanobacteria,LSTM_KAN,trial_0005,grid,30,2,256,0.0,0.001,64,0.0,,,64,3,3,10,0.26654784035930174,0.29297578192892526,0.35345871314157656,0.2697445560088983,0.2424241568690907,0.3628220964962798,0.2834054166333403,0.3653689608464103,0.41160176194497927
Cyanobacteria,LSTM_KAN,trial_0006,grid,30,2,256,0.0,0.002,64,0.0,,,64,3,3,3,0.3821565062838855,0.32628111896060763,0.3742365678848281,0.28735762322279496,0.16578218586215662,0.2614281906699909,0.34453882881189096,0.37795048847495083,0.4002203863676425
Cyanobacteria,LSTM_KAN,trial_0007,grid,30,2,256,0.0,0.001,64,0.0,,,64,5,3,10,0.26052726748492894,0.2889266766252972,0.34762010636306906,0.2653646871646127,0.2641680978734866,0.38836151861326407,0.2720857134601689,0.36102528748644375,0.4097493181425946
Cyanobacteria,LSTM_KAN,trial_0008,grid,30,2,256,0.0,0.002,64,0.0,,,64,5,3,5,0.29642818502076357,0.2634328632127671,0.34457981588355263,0.25526088156441373,0.28281761706624214,0.46900971333090435,0.2815562538609682,0.3589700318608124,0.3932131619288773
Cyanobacteria,LSTM_KAN,trial_0001,baseline,30,2,256,0.1,0.002,32,0.0001,,,64,5,2,6,0.2976919259992025,0.2635500679413478,0.3448659512911975,0.2514597043066556,0.28619729353586515,0.49455579856618453,0.29487057518464765,0.35524429673787883,0.38448298195106595
Cyanobacteria,LSTM_KAN,trial_0002,num_layers,30,1,256,0.1,0.002,32,0.0001,,,64,5,2,5,0.2786361387444202,0.2647732226621537,0.34086977118303396,0.2540136609354266,0.2917754765168365,0.4857720677253934,0.2651905143329519,0.3548753210970966,0.40254347811905333
Cyanobacteria,LSTM_KAN,trial_0003,num_layers,30,3,256,0.1,0.002,32,0.0001,,,64,5,2,10,0.35814994192040916,0.3124995203245254,0.3586231748006617,0.2735949715205395,0.23085612718781004,0.3635671139921273,0.31638174666212715,0.36553285910449856,0.3939549186353594
Cyanobacteria,LSTM_KAN,trial_0004,num_layers,30,4,256,0.1,0.002,32,0.0001,,,64,5,2,6,0.8491650081423328,0.39003417463529677,0.41307873034547843,0.3078764263767206,-0.013075978415061659,-0.33255089671596744,0.41342632307206517,0.4137239184067238,0.4120859495576463
Cyanobacteria,LSTM_KAN,trial_0005,hidden_dim,30,1,64,0.1,0.002,32,0.0001,,,64,5,2,6,0.27989693878018734,0.2748429576555888,0.34358202705880486,0.25993747388385796,0.28413660565969556,0.47317078963189135,0.2737917142716127,0.36024592437551667,0.39670844252928533
