epoch,train_loss,val_loss
1,0.48651987535937025,0.41059073335712865
2,0.29029686702576474,0.29981990362561883
3,0.24036941942871648,0.24584574553938138
4,0.24014567539972417,0.2552363675619875
5,0.213188293225625,0.23197996793758302
6,0.2009899593554566,0.274643175303936
7,0.19576793370259263,0.20754056556948594
8,0.16762412971072543,0.2211892402154349
9,0.16336858267396379,0.2255193991143079
10,0.1576661946039299,0.3080459104052612
11,0.1340135230221963,0.2801603137382439
12,0.13128505342971908,0.38684541767551783
13,0.14537377741870997,0.2777655055480344
14,0.12113142805012865,0.2874690026399635
15,0.10498494069675261,0.35982788034847807
16,0.09696913229552932,0.3035690974266756
17,0.08664087971807764,0.2974317339914186
18,0.09728940336555758,0.29710600959757966
19,0.08723963373002297,0.3224818686999026
20,0.07560910751147254,0.31509263245832353
21,0.06465728374707246,0.3408694606983945
22,0.058560351676800675,0.33911068666548955
23,0.05594288601594813,0.3486062009774503
24,0.062395411907698456,0.34051918690758093
25,0.050772540161714834,0.36393127909728457
26,0.04840853182553832,0.3348356970541534
27,0.052631972364075866,0.3620051057743175
