date,Algae_Total,Algae_Sum,Algae_diff
2020-09-28,7.623931933,7.632795076,-0.008863143000000129
2020-09-29,7.415068791,7.423417813,-0.008349021999999984
2020-09-30,7.489231884,7.49692029,-0.007688406000000647
2020-10-01,7.904337437,7.908950036,-0.00461259900000055
2020-10-02,6.742396814,6.747530774,-0.005133960000000215
2020-10-03,10.78163043,10.783246376,-0.0016159459999993686
2020-10-04,12.90523534,12.906372194,-0.0011368539999985217
2020-10-05,15.65427641,15.655484805,-0.001208395000000806
2020-10-06,16.30229378,16.302879884000003,-0.0005861040000034734
2020-10-07,14.70364689,14.704015919,-0.00036902899999979866
2020-10-08,10.98897974,10.989826338,-0.0008465980000007534
2020-10-09,12.97431983,12.97484081,-0.0005209799999992271
2020-10-10,13.24068017,13.24049204,0.000188129999999731
2020-10-11,20.06029689,20.061288924000003,-0.000992034000002917
2020-10-12,17.88018827,17.881180304,-0.0009920339999993644
2020-10-13,11.86083273,11.861122374,-0.0002896440000004219
2020-10-14,11.49464156,11.494453295000001,0.00018826499999846646
2020-10-15,20.5738378,20.573352643,0.0004851569999999583
2020-10-16,29.20559801,21.712448734000002,7.493149275999997
2020-10-17,16.45325851,16.454561911000003,-0.0013034010000012586
2020-10-18,8.205401883,8.205358436000001,4.3446999999474656e-05
2020-10-19,11.589233,11.589392185,-0.00015918499999934
2020-10-20,15.43407381,15.435571634999999,-0.0014978249999995086
2020-10-21,12.70489146,12.704811866,7.959400000068229e-05
2020-10-22,13.15922576,13.15897974,0.00024602000000051305
2020-10-23,8.932092686,8.932947139000001,-0.0008544530000005324
2020-10-24,8.581591896,8.581881332,-0.0002894359999991991
2020-10-25,7.188632417,7.1895441380000005,-0.0009117210000004761
2020-10-26,9.143852281,9.14372194,0.00013034099999842397
2020-10-27,10.23743103,10.237603448,-0.0001724180000000075
2020-10-28,15.51982634,15.520253255999998,-0.0004269159999985561
2020-10-29,20.66452732,20.664258457000003,0.0002688629999987313
2020-10-30,24.25009413,21.884105923,2.365988207000001
2020-10-31,12.07289436,12.073075252999999,-0.0001808929999995712
2020-11-01,14.82021951,14.822073171,-0.001853661000000173
2020-11-02,13.78952209,13.792085446000002,-0.002563356000001349
2020-11-03,9.761173063,9.761375814,-0.00020275100000155533
2020-11-04,9.37924663,9.380658208,-0.0014115779999990252
2020-11-05,7.662787835,7.664757423,-0.001969588000000577
2020-11-06,10.6529399,10.652831281,0.00010861900000058711
2020-11-07,17.50112962,17.50096307,0.00016654999999943243
2020-11-08,7.677586957,7.677644928,-5.797100000037858e-05
2020-11-09,6.483517041,6.484938361,-0.0014213200000003923
2020-11-10,5.921969477,5.922790699,-0.0008212219999998993
2020-11-11,6.35775762,6.358069666,-0.00031204599999945515
2020-11-12,7.032715328,7.033240876,-0.0005255479999997092
2020-11-13,7.359529412,7.359661765,-0.00013235300000058459
2020-11-14,9.074400888,9.074903847,-0.0005029590000003026
2020-11-15,8.515833333,8.515803571,2.9762000000488342e-05
2020-11-16,13.41807635,13.417889222,0.00018712800000031393
2020-11-17,15.10199546,15.102305367,-0.0003099070000001092
2020-11-18,14.95660076,14.956821291999999,-0.00022053199999838569
2020-11-19,26.78711553,18.823247558,7.963867972000003
2020-11-20,19.84976408,16.920608659,2.929155421000001
2020-11-21,16.27276417,15.183918695000001,1.0888454749999976
2020-11-22,17.12934934,15.901703530999999,1.227645809000002
2020-11-23,11.16620936,11.166391753,-0.00018239299999933678
2020-11-24,10.6020219,10.601810218999999,0.0002116810000014624
2020-11-25,9.785380477,9.785564950000001,-0.0001844730000009065
2020-11-26,16.6668741,16.66918958,-0.0023154800000000364
2020-11-27,11.0136686,11.014211286999998,-0.0005426869999975992
2020-11-28,8.998791606,8.998740955,5.065099999868039e-05
2020-11-29,9.22975398,9.229913169,-0.00015918899999967095
2020-11-30,4.986859624,4.991193922,-0.004334297999999848
2020-12-01,4.628262129,4.633048515,-0.004786385999999254
2020-12-02,5.110730825,5.113306802,-0.002575977000000229
2020-12-03,4.568921852,4.570137482000001,-0.0012156300000008002
2020-12-04,5.052315485,5.05251809,-0.00020260500000013337
2020-12-05,4.203683068,4.204797396,-0.0011143279999998867
2020-12-06,4.315296671,4.318849493000001,-0.003552822000001399
2020-12-07,4.560695148,4.563895727999999,-0.0032005799999996754
2020-12-08,4.395626358,4.397458363,-0.0018320049999998034
2020-12-09,6.296010138,6.298979001000001,-0.0029688630000013205
2020-12-10,5.483070239,5.4832078200000005,-0.00013758100000060836
2020-12-11,3.929522085,3.9297248369999997,-0.0002027519999998617
2020-12-12,6.609732078,6.609797248,-6.516999999917061e-05
2020-12-13,14.36445329,14.367907314,-0.0034540239999998334
2020-12-14,4.815318379,4.815441388,-0.00012300900000017378
2020-12-15,4.246266281,4.248408104999999,-0.002141823999999737
2020-12-16,4.283285094,4.285730825,-0.0024457309999998955
2020-12-17,4.113359884,4.113128167,0.00023171700000013118
2020-12-18,3.996148492,3.9961794280000005,-3.093600000037e-05
2020-12-19,4.648668596,4.648863965,-0.0001953690000000563
2020-12-20,5.334037627,5.334442836,-0.000405209000000184
2020-12-21,5.617675597,5.618892108,-0.0012165109999999757
2020-12-22,5.474525706,5.47512672,-0.0006010139999998998
2020-12-23,7.774202899,7.776384059,-0.0021811600000001263
2020-12-24,7.445604634,7.445800145000001,-0.00019551100000025912
2020-12-25,6.07192614,6.07173787,0.00018827000000065652
2020-12-26,6.178262129,6.178095583,0.00016654599999998965
2020-12-27,6.909992759,6.910050689,-5.793000000053894e-05
2020-12-28,18.22307024,18.225532223000002,-0.0024619830000034426
2020-12-29,17.41435712,16.772172499,0.6421846209999984
2020-12-30,16.60564399,16.605730825000002,-8.683500000117306e-05
2020-12-31,16.38497829,16.387156295,-0.002178005000001093
2021-01-01,8.856801737,8.856910275,-0.00010853800000099056
2021-01-02,5.316886314,5.317566981,-0.0006806670000001347
2021-01-03,4.767452967,4.7676193929999995,-0.00016642599999983076
2021-01-04,4.2508979,4.252657495,-0.0017595950000002247
2021-01-05,4.121839247,4.122570601,-0.0007313540000000174
2021-01-06,5.598254888,5.599116583000001,-0.0008616950000011059
2021-01-07,7.610079652,7.615213613,-0.005133961000000298
2021-01-08,4.041463981,4.043408211,-0.0019442300000003243
2021-01-09,3.711693198,3.713740954,-0.002047756000000067
2021-01-10,3.415151954,3.4148769889999997,0.00027496500000046
2021-01-11,3.661918899,3.662983346,-0.0010644470000000794
2021-01-12,5.292713459,5.297778581999999,-0.005065122999999616
2021-01-13,6.056801737,6.0590448630000004,-0.0022431260000006503
2021-01-14,6.556492375,6.557523603,-0.001031227999999551
2021-01-15,6.034779146,6.0352860239999995,-0.0005068779999994888
2021-01-16,6.226879073,6.230919623,-0.004040550000000032
2021-01-17,7.319008683,7.329218523,-0.010209839999999915
2021-01-18,7.221620839,7.228169319000001,-0.006548480000001078
2021-01-19,6.790180897,6.791013024,-0.0008321269999997938
2021-01-20,9.552908828,9.55519537,-0.0022865420000002246
2021-01-21,12.56553546,12.568437048,-0.002901588000000288
2021-01-22,13.08782766,13.088609704,-0.0007820439999992601
2021-01-23,16.69819826,16.701107090999997,-0.0029088309999956152
2021-01-24,11.10741679,11.107178003000001,0.00023878699999890785
2021-01-25,13.18467367,13.185078769,-0.00040509899999996435
2021-01-26,14.30910275,14.309341534,-0.00023878400000043598
2021-01-27,18.98062952,17.447178002999998,1.5334515170000032
2021-01-28,12.75143994,12.752337191999999,-0.000897251999999682
2021-01-29,14.50222865,14.503437049,-0.0012083990000011369
2021-01-30,14.99267728,14.994356006,-0.0016787259999997417
2021-01-31,12.60813179,12.609326574999999,-0.0011947849999991433
2021-02-01,11.90849385,11.91108617,-0.0025923200000015356
2021-02-02,11.05314989,11.054590877,-0.0014409870000005043
2021-02-03,9.519847936,9.520514120000001,-0.0006661840000017349
2021-02-04,10.50772629,10.508160753,-0.00043446299999949645
2021-02-05,10.67649547,10.678330815999999,-0.001835345999998239
2021-02-06,10.05244026,10.053758146,-0.001317886000000712
2021-02-07,9.093685735,9.094974656,-0.0012889210000004425
2021-02-08,9.737719044,9.740883417000001,-0.0031643730000006087
2021-02-09,11.10975291,11.113655523999999,-0.0039026139999993603
2021-02-10,13.78489855,13.788543479,-0.003644929000000019
2021-02-11,9.670086894,9.672534395,-0.0024475009999989084
2021-02-12,9.082671977,9.084822592000002,-0.0021506150000014657
