epoch,train_loss,val_loss
1,0.6838528671685387,0.358358329250699
2,0.4291759972753822,0.32452188503174556
3,0.33211403775792636,0.3713824976058233
4,0.2440543119057652,0.3526921215511504
5,0.1868426632716169,0.38414340075992404
6,0.1490169611975396,0.4270977008910406
7,0.11696883783414702,0.3717627695628575
8,0.09405588879407896,0.39901129120872136
9,0.07750459145561221,0.39209107274100896
10,0.06595560650512008,0.3985153805641901
11,0.05888974839325182,0.4102723967461359
12,0.05130666176624158,0.40927453551973614
13,0.04499029883128755,0.3954023803983416
14,0.039508153397628594,0.43510720275697257
15,0.03542099907272415,0.420284492628915
16,0.030094479104329972,0.4121574901399158
17,0.02680763014782362,0.4307317052568708
18,0.023518473528660704,0.44555099805196124
19,0.020874222933885134,0.4326335248493013
20,0.01913306946224923,0.4144830987566993
21,0.016971620705275182,0.43130305267515634
22,0.015429015429271546,0.436133793422154
