epoch,train_loss,val_loss
1,0.7386821700214927,0.5052066218285334
2,0.4782679936877584,0.46786638100941974
3,0.40927801928305707,0.37870039684431894
4,0.3578853599701373,0.4486126544929686
5,0.3172535157946154,0.3328110291844323
6,0.33590985808817986,0.3593915488038744
7,0.2886948627274754,0.4337945225692931
8,0.2844695529826372,0.40599743525187176
9,0.2558944103111445,0.42859221072424025
10,0.24874914177148813,0.38962851251874653
11,0.24451161859150988,0.3977011896315075
12,0.24664380148723464,0.3586891548974173
13,0.21964256094195025,0.43672285761151997
14,0.21092640652376063,0.4435177615710667
15,0.19320435852946707,0.5269175966580709
16,0.19095184605014365,0.4889835062481108
17,0.1739165528474382,0.5777908875828698
18,0.1717094107688917,0.5806916810217357
19,0.15549135562612523,0.6254751426833016
20,0.14419970285005634,0.7407117940130687
21,0.1420593821414614,0.7760285621597653
22,0.14238082279796008,0.7370785843758356
23,0.13632669972713432,0.7697086958658128
24,0.1246890281310956,0.7548503960881915
25,0.12155462363187004,0.7812219262123108
