trial_id,mlp_hidden_dim,mlp_num_layers,mlp_dropout,mlp_lr,best_epoch,val_loss,validation_mean_nRMSE,validation_D1_mean_abs,validation_D2_mean_abs,validation_consistency_improvement_mean_pct
trial_0001,8,1,0.0,0.001,144,1.5498706953866142,0.6559200500018657,0.09938151637713115,0.0,100.0
trial_0002,8,1,0.0,0.0005,1,1.580975123814174,0.6663361518873927,0.09938151637713115,0.0,100.0
trial_0003,8,1,0.1,0.001,1,1.5811391785031272,0.665882166740268,0.09938151637713115,0.0,100.0
trial_0004,8,1,0.1,0.0005,1,1.581123261224656,0.6664509178873051,0.09938151637713115,0.0,100.0
trial_0005,8,2,0.0,0.001,117,1.549245209920974,0.6559022155542648,0.09938151637713115,0.0,100.0
trial_0006,8,2,0.0,0.0005,144,1.5527479762122744,0.6563021461942581,0.09938151637713115,0.0,100.0
trial_0007,8,2,0.1,0.001,73,1.550855727422805,0.6561677409371429,0.09938151637713115,0.0,100.0
trial_0008,8,2,0.1,0.0005,144,1.552392914181664,0.656354052641049,0.09938151637713115,0.0,100.0
trial_0009,32,1,0.0,0.001,149,1.5402837026686895,0.6545773250868716,0.09938151637713115,0.0,100.0
trial_0010,32,1,0.0,0.0005,144,1.5456890038081579,0.6553476508014222,0.09938151637713115,0.0,100.0
trial_0011,32,1,0.1,0.001,68,1.5454133578709193,0.655316935831731,0.09938151637713115,0.0,100.0
trial_0012,32,1,0.1,0.0005,149,1.54673018909636,0.655488918397571,0.09938151637713115,0.0,100.0
trial_0013,32,2,0.0,0.001,107,1.5389730816795713,0.6542966058001873,0.09938151637713115,0.0,100.0
trial_0014,32,2,0.0,0.0005,149,1.5390440963563465,0.6543131639609722,0.09938151637713115,0.0,100.0
trial_0015,32,2,0.1,0.001,105,1.537470125016712,0.6541190176914718,0.09938151637713115,0.0,100.0
trial_0016,32,2,0.1,0.0005,108,1.5405268555595761,0.6546369562540243,0.09938151637713115,0.0,100.0
trial_0017,64,1,0.0,0.001,51,1.5440760340009416,0.6551180149022606,0.09938151637713115,0.0,100.0
trial_0018,64,1,0.0,0.0005,117,1.544516813187372,0.655164798839494,0.09938151637713115,0.0,100.0
trial_0019,64,1,0.1,0.001,120,1.5392474446977888,0.6543822502743102,0.09938151637713115,0.0,100.0
trial_0020,64,1,0.1,0.0005,101,1.5429984955560594,0.6549357522480901,0.09938151637713115,0.0,100.0
trial_0021,64,2,0.0,0.001,139,1.5372576940627325,0.6539759022521291,0.09938151637713115,0.0,100.0
trial_0022,64,2,0.0,0.0005,85,1.5398745763869512,0.6544417011484336,0.09938151637713115,0.0,100.0
trial_0023,64,2,0.1,0.001,48,1.540047668275379,0.6545701606388893,0.09938151637713115,0.0,100.0
trial_0024,64,2,0.1,0.0005,111,1.5392893268948509,0.6543888001154191,0.09938151637713115,0.0,100.0
