epoch,train_loss,val_loss
1,0.665851396672866,0.5940971544810704
2,0.4606415443766901,0.45247242147369043
3,0.3399579012476449,0.4219990788648526
4,0.3219951924877596,0.36052325687238146
5,0.2584936399154597,0.27214780698219937
6,0.2357622134438023,0.2870129187192236
7,0.23026949726689647,0.2754317402085733
8,0.20898352718064528,0.25958320480727015
9,0.19409822806664404,0.258157889913058
10,0.19080029263009662,0.2439208066179639
11,0.1671680167162707,0.28691683683012215
12,0.18015273095827203,0.2812637331052905
13,0.1709838570917354,0.2953194896025317
14,0.14536952363990996,0.32340751375470844
15,0.14416187089001017,0.31254235841333866
16,0.1071089317790107,0.34897123578758465
17,0.1044466074259636,0.28676201349922587
18,0.12356386431670106,0.30230375099927187
19,0.1090570555348916,0.40243639867930187
20,0.09263064245657937,0.37549535610846113
21,0.07726819884148023,0.3961641944590069
22,0.07084057572906817,0.4372431352024987
23,0.07339686310002548,0.43104222133046105
24,0.06844715654179712,0.3839300501914251
25,0.05451928244123822,0.376839925135885
26,0.05260289803301999,0.4003414197691849
27,0.05231994552905172,0.423057680328687
28,0.04842154230522862,0.4156791606385793
29,0.050612705634023904,0.4126417528660524
30,0.0511054431819792,0.417730423666182
