model_name,horizon,target,dataset,nRMSE,nMAE,NSE,KGE
LSTM_FC,1,Green_Algae,train,0.382790869728124,0.27281858572160056,0.7922633322369191,0.8389195078793255
LSTM_FC,1,Cyanobacteria,train,0.3294588636483789,0.23316056161395315,0.7039330343309489,0.7475518622560915
LSTM_FC,1,Diatoms,train,0.4608993567920399,0.312462317658888,0.7437764051736231,0.7808710678456346
LSTM_FC,1,Cryptophyta,train,0.5382586747977506,0.36495906325986066,0.7007929619943603,0.7216650663029783
LSTM_FC,1,Algae_Sum,train,0.2854093794535997,0.20790722538338602,0.7452573223661927,0.8092628737204766
LSTM_FC,2,Green_Algae,train,0.45771742552949807,0.3319524909608699,0.7032582941381591,0.76867689324455
LSTM_FC,2,Cyanobacteria,train,0.3685989453167959,0.26327438564125744,0.6294685749300354,0.7028208671112929
LSTM_FC,2,Diatoms,train,0.5292977427853874,0.3610516801629782,0.6628056930424133,0.7108434146103632
LSTM_FC,2,Cryptophyta,train,0.6197277446673439,0.42485331057372216,0.6039158176888695,0.6424530834524075
LSTM_FC,2,Algae_Sum,train,0.35173981578398317,0.26038869065116843,0.6129242400229407,0.7065886064629233
LSTM_FC,3,Green_Algae,train,0.5056839739029633,0.3673386338047517,0.6374668820850904,0.695688307550985
LSTM_FC,3,Cyanobacteria,train,0.38824606588088156,0.2817563239217331,0.5890307609887571,0.6624931648527678
LSTM_FC,3,Diatoms,train,0.5786157750123304,0.39594137846693944,0.5981172013305854,0.6589526822416527
LSTM_FC,3,Cryptophyta,train,0.6550984640786726,0.4571585676261357,0.5573889926106841,0.5904334386834387
LSTM_FC,3,Algae_Sum,train,0.3840236101881361,0.28824005741513986,0.5375886172182583,0.6088772143336367
LSTM_FC,1,Green_Algae,val,0.780672932237964,0.5656888735125206,0.4251152955658023,0.43791446320705973
LSTM_FC,1,Cyanobacteria,val,0.3774270634182412,0.30021001647946155,0.15043123291618954,0.37663389358728816
LSTM_FC,1,Diatoms,val,1.019352902323994,0.7526605731458967,0.4515364249705879,0.4512955723349258
LSTM_FC,1,Cryptophyta,val,0.49730134836140377,0.41315078423285084,-0.0339571207062348,0.5205519873337139
LSTM_FC,1,Algae_Sum,val,0.35938847574047783,0.2831918458413256,0.21162722951944535,0.42907622757661235
LSTM_FC,2,Green_Algae,val,0.8524067576881982,0.6506262784984241,0.3294266892930906,0.3794860381555367
LSTM_FC,2,Cyanobacteria,val,0.426540409357107,0.34579968442207154,-0.08079599913499957,0.23532609795803294
LSTM_FC,2,Diatoms,val,1.0820952497143843,0.7785317173703138,0.3827134497156972,0.42799104636571494
LSTM_FC,2,Cryptophyta,val,0.5674032641840433,0.47690963396804215,-0.3630532958458532,0.41044561660917067
LSTM_FC,2,Algae_Sum,val,0.4630861787737639,0.37401191147972424,-0.29625295397877527,0.1645844441958627
LSTM_FC,3,Green_Algae,val,1.0697605387941798,0.7672081094583288,-0.03138024809870066,0.11965142987489163
LSTM_FC,3,Cyanobacteria,val,0.4602852172956625,0.3736910610785368,-0.2514065524527529,0.14566912275329702
LSTM_FC,3,Diatoms,val,1.192084545904918,0.8546724257556196,0.25920378356456997,0.3033134022615501
LSTM_FC,3,Cryptophyta,val,0.5905990001904201,0.48945883006859453,-0.5345376827679231,0.34438178130017016
LSTM_FC,3,Algae_Sum,val,0.504309679374614,0.4119322942728943,-0.5473192722405165,-0.02297403816841137
LSTM_FC,1,Green_Algae,test,2.2216018117017917,1.786799007276548,-0.15230068887712167,-0.23548449328264875
LSTM_FC,1,Cyanobacteria,test,0.43448657067770685,0.35780499634462526,0.28335023003852944,0.27721909984192117
