target,model_name,horizon,dataset,nRMSE,nMAE,NSE,KGE
Green_Algae,LSTM_FC,1,train,0.35158836230601587,0.2500792431378288,0.8247496061502781,0.8812944130161549
Green_Algae,LSTM_FC,2,train,0.4615103307471213,0.332248112676245,0.6983199788351577,0.7923513733325035
Green_Algae,LSTM_FC,3,train,0.5239602805489451,0.38288619265700563,0.6107881649561546,0.677355685323331
Green_Algae,LSTM_FC,1,val,0.5985049710570368,0.42111300068697655,0.6621079027709376,0.7417597837871596
Green_Algae,LSTM_FC,2,val,0.7818227697799378,0.5739487501508707,0.43588308080337557,0.6345091868966815
Green_Algae,LSTM_FC,3,val,0.9635325740232369,0.7656347828157499,0.16328324543763106,0.39814720843591644
Green_Algae,LSTM_FC,1,test,2.3094485505463025,1.9282138278153926,-0.24523111161986044,-0.576322761044098
Green_Algae,LSTM_FC,2,test,2.55047556848867,2.025298149309991,-0.4943765123041277,-0.5724458942738884
Green_Algae,LSTM_FC,3,test,2.974046881140661,2.33189485671876,-1.0417408418438772,-0.965389963530003
Green_Algae,LSTM_MLP,1,train,0.38895776136350235,0.2849501254155529,0.7855159982969625,0.8222642434937466
Green_Algae,LSTM_MLP,2,train,0.4955535176077903,0.35736753104501195,0.6521717735151578,0.714135793938599
Green_Algae,LSTM_MLP,3,train,0.5656896130193984,0.4074835085421972,0.5463240946095641,0.6129251820893182
Green_Algae,LSTM_MLP,1,val,0.6362365927930259,0.4842909163191544,0.6181614273047791,0.6317363797540755
Green_Algae,LSTM_MLP,2,val,0.767099092089884,0.590028511102526,0.45693047366972894,0.5542107090046597
Green_Algae,LSTM_MLP,3,val,0.9085921018680874,0.7201073166302693,0.25598176914079684,0.41591594829523226
Green_Algae,LSTM_MLP,1,test,2.1567356768719073,1.711247923284464,-0.08599349717088844,-0.3532138561264171
Green_Algae,LSTM_MLP,2,test,2.4525810943324204,1.8823375788647176,-0.381861286252382,-0.4576001177545528
Green_Algae,LSTM_MLP,3,test,2.8126316257289177,2.181373931512973,-0.8261258629581896,-0.7998243578839919
Green_Algae,LSTM_KAN,1,train,0.36888749989055386,0.2613908525289205,0.8070797136193688,0.8414587226149023
Green_Algae,LSTM_KAN,2,train,0.48470344204176297,0.34073148377392826,0.6672363314908948,0.7129634762660095
Green_Algae,LSTM_KAN,3,train,0.5574979425797884,0.39349896810676316,0.5593681928360694,0.621552633279332
Green_Algae,LSTM_KAN,1,val,0.617748192899837,0.4345230381335945,0.6400306881184297,0.6276088030382458
Green_Algae,LSTM_KAN,2,val,0.7316829923719546,0.5237852168910934,0.5059187006088143,0.5864568218938864
Green_Algae,LSTM_KAN,3,val,0.854997999688778,0.6322928252943792,0.3411662174818886,0.4854378064628023
Green_Algae,LSTM_KAN,1,test,1.8649930334387668,1.4647043673112001,0.18794058215244558,-0.13285651320285208
Green_Algae,LSTM_KAN,2,test,2.22346511629329,1.6585647627236728,-0.13573847391157634,-0.21527044837135456
Green_Algae,LSTM_KAN,3,test,2.6707494407265555,2.0542342810451184,-0.6465362179374263,-0.6129615480635193
Cyanobacteria,LSTM_FC,1,train,0.2671251936551539,0.19120830362899396,0.8053666487749478,0.9012132530734513
Cyanobacteria,LSTM_FC,2,train,0.3341023047690612,0.24253226765903638,0.6955781552000674,0.8326174307807781
Cyanobacteria,LSTM_FC,3,train,0.35334500800106944,0.2585782520350345,0.65959721160128,0.7918041730891697
Cyanobacteria,LSTM_FC,1,val,0.30799558250819997,0.21078860055355553,0.4342540716576593,0.7116570012055379
Cyanobacteria,LSTM_FC,2,val,0.3827189434490799,0.2850352870695239,0.12987172050865015,0.46270607645967876
Cyanobacteria,LSTM_FC,3,val,0.4174239833032782,0.32101508398966705,-0.029198551864417555,0.2827119006190276
Cyanobacteria,LSTM_FC,1,test,0.3567539406525754,0.2834725204586684,0.5168390700152355,0.46021899097909535
Cyanobacteria,LSTM_FC,2,test,0.45829861439172154,0.37646637404413963,0.21364450325514406,0.2145679939398475
Cyanobacteria,LSTM_FC,3,test,0.5125007337466949,0.4273689199677428,0.027931452006505486,0.022791840733677127
Cyanobacteria,LSTM_MLP,1,train,0.2809595837321767,0.19501852185714635,0.7846845162113953,0.7618336496988353
Cyanobacteria,LSTM_MLP,2,train,0.3493840362233966,0.2442883846681488,0.6670929551540592,0.6611072115697432
Cyanobacteria,LSTM_MLP,3,train,0.37871462888806395,0.2683604882469909,0.6089616503319004,0.6172455728639828
Cyanobacteria,LSTM_MLP,1,val,0.28865062958854454,0.21741374635105357,0.5030902936912823,0.6024051479160292
Cyanobacteria,LSTM_MLP,2,val,0.36368120950562216,0.27761849969801144,0.21428491551071327,0.3602637920640307
Cyanobacteria,LSTM_MLP,3,val,0.3995395320082757,0.3093822576112113,0.057103804266833924,0.2138923283229489
Cyanobacteria,LSTM_MLP,1,test,0.38503535319654136,0.30347237476929234,0.43719821600151343,0.39175347929933524
Cyanobacteria,LSTM_MLP,2,test,0.4852663341792432,0.38837650083821906,0.1183785176787866,0.17738725876117822
Cyanobacteria,LSTM_MLP,3,test,0.5328909339873774,0.4311129103292423,-0.050956091632122336,0.002170079937872882
Cyanobacteria,LSTM_KAN,1,train,0.2762454700865065,0.18471601143653638,0.7918492928409826,0.7999794919175605
Cyanobacteria,LSTM_KAN,2,train,0.3387059527732393,0.23050382110376794,0.687131003506242,0.7125815735262295
Cyanobacteria,LSTM_KAN,3,train,0.36993048014078483,0.25514741907366933,0.6268912611080207,0.6579022672704722
Cyanobacteria,LSTM_KAN,1,val,0.2702790192331025,0.18810232010127992,0.5643305268369181,0.6646918228931349
Cyanobacteria,LSTM_KAN,2,val,0.3571966603223365,0.25579714398999437,0.24205421008561911,0.39729758479679445
Cyanobacteria,LSTM_KAN,3,val,0.39482673753668,0.29733155942489614,0.07921660057603563,0.24713302836489515
Cyanobacteria,LSTM_KAN,1,test,0.3064636663860183,0.22779120246614024,0.6434567355205819,0.565897073835785
Cyanobacteria,LSTM_KAN,2,test,0.4155887666501116,0.32607376791664683,0.3533795452729179,0.3455184953852952
Cyanobacteria,LSTM_KAN,3,test,0.4857831116090861,0.3917292019831558,0.12664113452173142,0.15851663668311256
Diatoms,LSTM_FC,1,train,0.348585742283467,0.22571056781116275,0.8534363893157474,0.9047966361454058
Diatoms,LSTM_FC,2,train,0.44209230008735534,0.29176018713604573,0.7647627728830282,0.8516009482356566
Diatoms,LSTM_FC,3,train,0.5077131474397941,0.3381190692388244,0.6905747874472374,0.8001028924244593
Diatoms,LSTM_FC,1,val,0.6161982580417228,0.416500478433821,0.7995806750028338,0.8153771132349634
Diatoms,LSTM_FC,2,val,0.8504061357495777,0.5620493743674558,0.61875109641395,0.6254643085119423
Diatoms,LSTM_FC,3,val,0.9765670257195876,0.6567727714590382,0.5028485025292946,0.5921805840073693
Diatoms,LSTM_FC,1,test,0.5121029060343074,0.37702505033222405,0.6644544582071186,0.5503949038391256
Diatoms,LSTM_FC,2,test,0.719046882629996,0.5237407319801587,0.33915843309958216,0.31791291176849856
Diatoms,LSTM_FC,3,test,0.8017441877531719,0.5907876271278549,0.17818373946343746,0.22221329155229075
Diatoms,LSTM_MLP,1,train,0.3258673658073832,0.21974262586267362,0.8719178362014142,0.9192240070227025
Diatoms,LSTM_MLP,2,train,0.3768483447230055,0.25281240796879906,0.8290719359702535,0.8810207256926108
Diatoms,LSTM_MLP,3,train,0.42142361905704073,0.2851598664241333,0.786815010178912,0.8650726543135863
Diatoms,LSTM_MLP,1,val,0.6773672746631099,0.42771523975788267,0.7578150873472339,0.6867736795922676
Diatoms,LSTM_MLP,2,val,0.8793231599161194,0.5522375549540126,0.5923824660523529,0.5798103037585105
Diatoms,LSTM_MLP,3,val,1.0350283019067505,0.677797032806599,0.4415438338462234,0.5061727412070565
Diatoms,LSTM_MLP,1,test,0.7277988518364028,0.5414277408945118,0.322265296186633,0.2778041766878946
Diatoms,LSTM_MLP,2,test,0.8343121325831439,0.6194064244555278,0.11030724292515137,0.15961020167678752
