epoch,train_loss,val_loss
1,0.6634341861962447,0.647206153188433
2,0.42965074321802926,0.36569766061646597
3,0.3438496466429588,0.3249368241855076
4,0.3136570633334272,0.27739605165663217
5,0.28110446422570307,0.2922603849853788
6,0.29952490071936877,0.35512846850213553
7,0.2832707796748534,0.2833116196450733
8,0.26052509323020295,0.3935305674870809
9,0.24919068207480916,0.3950544226737249
10,0.21879199575181651,0.38365204277492704
11,0.23731716028753036,0.37321380206516813
12,0.2109547163582178,0.5036888009025937
13,0.2027294966279429,0.37840039531389874
14,0.19009685433859644,0.4117509438878014
15,0.18172228423988118,0.5141107638676962
16,0.15255571426146997,0.577484769480569
17,0.13659348588913783,0.5902082409177508
18,0.13111205765120298,0.5464544636862618
19,0.1149853933022509,0.47185187396549044
20,0.10569245598978237,0.6230649096625192
21,0.10647971224310489,0.5701623048101153
22,0.1014909566376861,0.6104265848795573
23,0.10962555034144114,0.545456642196292
24,0.09038882349395422,0.5814823082515171
