epoch,train_loss,val_loss
1,0.6514856468847466,0.38058599687757944
2,0.434526910831359,0.2888821618897574
3,0.39742776009038244,0.38812001262392315
4,0.37406028482328235,0.3193889629273188
5,0.36804421282144567,0.35317528815496535
6,0.3603705069804274,0.3360934683254787
7,0.3281867598476707,0.3498112190337408
8,0.3154456045697717,0.371951318922497
9,0.2825695372164043,0.40506443807056974
10,0.2858361238839305,0.7043658381416684
11,0.2539532672368944,0.683041669073559
12,0.22008662900297699,0.8223467894962856
13,0.30438817034646304,0.5266135931015015
14,0.22665198389634128,0.8361066977183024
15,0.1812676880959821,0.6085200139454433
16,0.15478436669470116,0.6489780573617845
17,0.12870848604242693,0.6827059586842855
18,0.13141734227795915,0.6061199051993233
19,0.13776070547248254,0.6388537202562604
20,0.1168360721745293,0.8656717936197916
21,0.110284482422172,0.7214738925298055
22,0.09752960492789127,0.9215066205887568
