model_name,horizon,target,dataset,nRMSE,nMAE,NSE,KGE
KAN,1,Green_Algae,train,0.5041277861940581,0.38869094133685766,0.6396941690671318,0.799046101615958
KAN,1,Cyanobacteria,train,0.37807105864219076,0.2744753871596352,0.6101168850667711,0.6473537651755459
KAN,1,Diatoms,train,0.5373945502362429,0.3832480975872478,0.6516679531384579,0.7852835905249091
KAN,1,Cryptophyta,train,0.63166838385372,0.4845102294473131,0.5879328350882369,0.6132013236371129
KAN,1,Algae_Sum,train,0.37124491261035364,0.2889041305679389,0.5689910894156732,0.7377261368283237
KAN,2,Green_Algae,train,0.5526392239224263,0.43414478185031913,0.5674193310790296,0.7062719262385466
KAN,2,Cyanobacteria,train,0.39901242413780885,0.2864605643316386,0.5658001115597975,0.6228908579435556
KAN,2,Diatoms,train,0.5784186341689389,0.417761151343966,0.5973156968005582,0.7238063832809485
KAN,2,Cryptophyta,train,0.684536608763666,0.5284935958106979,0.5167420825814302,0.5447651807718903
KAN,2,Algae_Sum,train,0.41236204031984036,0.3283702166268006,0.4680016673739231,0.5874726406960431
KAN,3,Green_Algae,train,0.564367693398613,0.43896538623679965,0.5484419427793983,0.6388712516251969
KAN,3,Cyanobacteria,train,0.4046705121584372,0.29662918641728775,0.5535238064714991,0.613894449871473
KAN,3,Diatoms,train,0.6122291758813119,0.43397322752524486,0.5500679580018141,0.6815098626664303
KAN,3,Cryptophyta,train,0.7147198912786061,0.5451844766523704,0.4731575192967101,0.49907303134648995
KAN,3,Algae_Sum,train,0.4244277901433359,0.33997057250921964,0.43516670534736956,0.5352475937128668
KAN,1,Green_Algae,val,1.1056341493180806,0.8221942387523729,-0.15309582275844003,-0.021992178111012173
KAN,1,Cyanobacteria,val,0.44447662573008234,0.35351039261263584,-0.17823064988662418,0.08786695581588655
KAN,1,Diatoms,val,1.2790008559596004,0.9648876812726216,0.1365437590920736,0.19434108845380382
KAN,1,Cryptophyta,val,0.7074493178077645,0.6171890514846442,-1.0924443633288012,0.19093943180214046
KAN,1,Algae_Sum,val,0.47811469089739445,0.40052321420451337,-0.3952996938973454,-0.018231544104343023
KAN,2,Green_Algae,val,1.1799837415952965,0.9755160488704497,-0.2850041876130187,-0.08856180929444624
KAN,2,Cyanobacteria,val,0.5167387872996266,0.40853373758852424,-0.5862275511201018,-0.20659017641016897
KAN,2,Diatoms,val,1.342702633839008,1.027195185853607,0.049580113099404244,0.062376865846236806
KAN,2,Cryptophyta,val,0.6049391536302544,0.5104061589143304,-0.5493608084972956,0.24481904560590884
KAN,2,Algae_Sum,val,0.4886689515909413,0.4238312195349294,-0.44342962019661036,-0.05321778171589475
KAN,3,Green_Algae,val,1.2065262552065616,0.9119770724808062,-0.31195583903327906,-0.1451724648731294
KAN,3,Cyanobacteria,val,0.5096391720952907,0.40897850132690716,-0.5341575914492815,-0.05782538517500457
KAN,3,Diatoms,val,1.22697923913517,0.9212440124999742,0.2151998658038874,0.3045168066971564
KAN,3,Cryptophyta,val,0.616226201471087,0.5126660044669684,-0.6705999468957773,0.18344488546066895
KAN,3,Algae_Sum,val,0.5006400294855633,0.42841773961577845,-0.5248828147265296,-0.04161658652850431
KAN,1,Green_Algae,test,4.1212165195678665,3.3893505579724374,-2.965374812528956,-1.9576885152817702
KAN,1,Cyanobacteria,test,0.5486435182551233,0.4479814053099372,-0.142706653491268,-0.08444717771025934
KAN,1,Diatoms,test,0.9498730182248631,0.7392763312978902,-0.15443130506541358,-0.0004394766627877633
KAN,1,Cryptophyta,test,0.638927678652262,0.49705083362417446,-0.4843302568208525,-0.025507628839616103
KAN,1,Algae_Sum,test,0.4187155720207423,0.32206927783176964,0.17227034588275936,0.3438699457480765
KAN,2,Green_Algae,test,4.494277121124952,3.9294794890625986,-3.6402074109663136,-2.5849233310921402
KAN,2,Cyanobacteria,test,0.5678801812473997,0.46126863913088406,-0.20735577300107377,-0.11130339890973984
KAN,2,Diatoms,test,0.9631787168184396,0.7572140865345753,-0.18575971548195125,-0.056087821229535484
KAN,2,Cryptophyta,test,0.540324722573878,0.4070349936481625,-0.04641237945873433,0.13612878632060754
KAN,2,Algae_Sum,test,0.44566875715370247,0.34799734514067804,0.08028811628647436,0.21329618882606882
KAN,3,Green_Algae,test,4.398865482171301,3.9191889899550856,-3.4666956187370186,-2.590935628372622
KAN,3,Cyanobacteria,test,0.6028767135828006,0.4983538049235625,-0.34513207016933856,-0.3095707833897108
KAN,3,Diatoms,test,1.0207341070938736,0.7918950527404068,-0.3320739732641853,-0.1652140782839404
KAN,3,Cryptophyta,test,0.5638638676265089,0.427742249528287,-0.1413938797523857,0.024316546509941417
KAN,3,Algae_Sum,test,0.4722014282531461,0.36877827779856936,-0.021216752677202022,0.04439193649164974
