target,model_name,horizon,dataset,nRMSE,nMAE,NSE,KGE
Cyanobacteria,LSTM_FC,2,test,0.42573409823103703,0.33217300377373205,0.3214236636827513,0.348043666199931
Cyanobacteria,LSTM_FC,3,test,0.4987816334076987,0.40135647884896314,0.0792773742171402,0.14407746831265322
Cyanobacteria,LSTM_MLP,1,train,0.28248221835341675,0.18661576082679984,0.782344426545877,0.7933373874691657
Cyanobacteria,LSTM_MLP,2,train,0.3434867731914029,0.22908630088923443,0.6782364028825991,0.72454972667898
Cyanobacteria,LSTM_MLP,3,train,0.3890611738554991,0.2680000016104068,0.5873033189223912,0.6627130124508114
Cyanobacteria,LSTM_MLP,1,val,0.2545931377720015,0.18433860098962357,0.6134320427640905,0.7423942975095587
Cyanobacteria,LSTM_MLP,2,val,0.3432779691341508,0.24246126017056238,0.29997228744039006,0.546634169796171
Cyanobacteria,LSTM_MLP,3,val,0.3914602303256694,0.28015876484274493,0.0948518498897305,0.40292501566384165
Cyanobacteria,LSTM_MLP,1,test,0.34814600602165796,0.27386250468963763,0.5398736691509336,0.5131896379115035
Cyanobacteria,LSTM_MLP,2,test,0.3930454647421769,0.30620204290003467,0.42162778856046945,0.4386998186494935
Cyanobacteria,LSTM_MLP,3,test,0.43184698786018444,0.33637305352099434,0.3098115316290134,0.3639828992366346
Cyanobacteria,LSTM_KAN,1,train,0.2948959739513197,0.19019937823764962,0.7627942299282027,0.7441500955817266
Cyanobacteria,LSTM_KAN,2,train,0.359961700491763,0.2386583639700182,0.6466301747389325,0.6561128987648638
Cyanobacteria,LSTM_KAN,3,train,0.3883927177251477,0.2632195986084757,0.5887202304806297,0.6162322796165223
Cyanobacteria,LSTM_KAN,1,val,0.2587040153428422,0.1772594242077549,0.600847545706132,0.6954700850537192
Cyanobacteria,LSTM_KAN,2,val,0.34234643043441576,0.24843662659575932,0.3037664028328704,0.44632824783713787
Cyanobacteria,LSTM_KAN,3,val,0.3780590179818008,0.2849655392681464,0.15576456383367843,0.3062507611651727
Cyanobacteria,LSTM_KAN,1,test,0.332731920139838,0.25120816667365886,0.5797156829172565,0.5241701303515949
Cyanobacteria,LSTM_KAN,2,test,0.4253401805641132,0.33264740663081577,0.3226788111794531,0.3418210336584713
Cyanobacteria,LSTM_KAN,3,test,0.49001868176922747,0.3948705537796876,0.11134500838390526,0.17087555598873383
Diatoms,LSTM_FC,1,train,0.3744772667256616,0.23644814059852604,0.8308555187238318,0.9149122153527058
Diatoms,LSTM_FC,2,train,0.4703655839364327,0.3022340954956234,0.7337122276149317,0.8446191269929707
Diatoms,LSTM_FC,3,train,0.5370880408088978,0.3465843434604578,0.6537340059423418,0.7361540407690033
Diatoms,LSTM_FC,1,val,0.6246511955386458,0.3876009407724037,0.7940442936860856,0.7683298460607713
Diatoms,LSTM_FC,2,val,0.8423156826834745,0.5423360822600087,0.625970701958799,0.6487179195441277
Diatoms,LSTM_FC,3,val,0.9915911848110497,0.6637117934495411,0.4874337936505907,0.531742263570133
Diatoms,LSTM_FC,1,test,0.6402306064129274,0.4509417350434367,0.4755430352512722,0.38098309540068376
Diatoms,LSTM_FC,2,test,0.760715622686397,0.5424156938373387,0.2603477057801379,0.2616000938783827
Diatoms,LSTM_FC,3,test,0.8409343553008707,0.6048859868025074,0.09587749093007203,0.15575430689566483
Diatoms,LSTM_MLP,1,train,0.3547506889979595,0.22446182186077887,0.8482064173936131,0.8535121575271073
Diatoms,LSTM_MLP,2,train,0.45536504964067626,0.2914837228733149,0.7504258856922514,0.8274965965075456
Diatoms,LSTM_MLP,3,train,0.5281942077699552,0.3400116060072175,0.6651069405175778,0.7299881745598017
Diatoms,LSTM_MLP,1,val,0.6867078508056682,0.4636996762529116,0.7510897945870431,0.643170082287057
Diatoms,LSTM_MLP,2,val,0.8560335865915121,0.566457915612023,0.6136886589488649,0.5580456227936129
Diatoms,LSTM_MLP,3,val,0.9584092107267927,0.63873558283937,0.5211642000928405,0.5134698150636483
Diatoms,LSTM_MLP,1,test,0.7726960076700078,0.5446985986873936,0.23606865476443062,0.21555305885948983
Diatoms,LSTM_MLP,2,test,0.8553130494654869,0.6128752576445511,0.06495366116554002,0.12708107422110826
Diatoms,LSTM_MLP,3,test,0.9044967666780747,0.6566662172856879,-0.045964941718238395,0.0568106950312568
Diatoms,LSTM_KAN,1,train,0.3803939779364429,0.2370542833394546,0.8254683550524292,0.8207359402827485
Diatoms,LSTM_KAN,2,train,0.48512084740276484,0.30706485585379684,0.7167434076318513,0.7254771994094724
Diatoms,LSTM_KAN,3,train,0.5558388983826517,0.3582499149845576,0.6291342304128732,0.6815664870299009
Diatoms,LSTM_KAN,1,val,0.7687634751038679,0.4848168966635139,0.6880505956008183,0.5851593592182829
Diatoms,LSTM_KAN,2,val,0.8489714076707771,0.5580696486006698,0.620036414888322,0.571531219104134
Diatoms,LSTM_KAN,3,val,0.9250654590715967,0.6082212842960444,0.5539027094759217,0.5580899619379135
Diatoms,LSTM_KAN,1,test,0.8474346427706566,0.6207103898393537,0.0811398415571215,0.13031330044427702
Diatoms,LSTM_KAN,2,test,0.883331395795985,0.6514379500920038,0.0026897762795541347,0.09595909902500765
Diatoms,LSTM_KAN,3,test,0.91950562251121,0.6816007084621505,-0.08096558929667097,0.05286127594014001
Cryptophyta,LSTM_FC,1,train,0.4757211992692277,0.297599453621361,0.7662806126228873,0.753456969620633
Cryptophyta,LSTM_FC,2,train,0.5809235373362731,0.37290199433775456,0.6519644826599751,0.668483012724783
Cryptophyta,LSTM_FC,3,train,0.6396468820360002,0.4173087175566821,0.5780221817292001,0.5726686739802853
Cryptophyta,LSTM_FC,1,val,0.36230423816791735,0.27841288832889266,0.4512050658096227,0.6917438873442389
Cryptophyta,LSTM_FC,2,val,0.4611760423552177,0.3625176938611773,0.0995436492216406,0.5104762125629667
Cryptophyta,LSTM_FC,3,val,0.5116954246266489,0.4022280090909267,-0.15190117657382296,0.38810422030779257
Cryptophyta,LSTM_FC,1,test,0.4371057394495457,0.3072623222098775,0.30529542288797795,0.482790221716888
Cryptophyta,LSTM_FC,2,test,0.5229858037193802,0.37807801295409343,0.01966841014151588,0.29839939001967586
Cryptophyta,LSTM_FC,3,test,0.5666578933129472,0.4070535225961756,-0.15273345906217095,0.17531207087599376
Cryptophyta,LSTM_MLP,1,train,0.6743278453575438,0.41836214735381594,0.530395860668953,0.4430109707590074
Cryptophyta,LSTM_MLP,2,train,0.7632653655526971,0.49221792922506724,0.3991905818377104,0.3612057519633257
Cryptophyta,LSTM_MLP,3,train,0.8226111231567425,0.5418056571574625,0.30209195730510063,0.28512290453546096
Cryptophyta,LSTM_MLP,1,val,0.352673417003167,0.2649782493832815,0.47999356686465455,0.5871407218757037
Cryptophyta,LSTM_MLP,2,val,0.42065085054246576,0.30612155469880614,0.2508431892691786,0.4014308666975326
Cryptophyta,LSTM_MLP,3,val,0.4637224526807887,0.3290675724705262,0.05396238851699975,0.22137917461935497
Cryptophyta,LSTM_MLP,1,test,0.5772620288093666,0.4517860613893789,-0.2116386680694109,0.2255416249418205
Cryptophyta,LSTM_MLP,2,test,0.6160153471460729,0.4762998748422746,-0.36011697595495296,0.10256562433557248
Cryptophyta,LSTM_MLP,3,test,0.6449217542215426,0.4951472914525273,-0.4931418460731303,-0.009619409329360673
Cryptophyta,LSTM_KAN,1,train,0.54060989360592,0.34247415995241365,0.6981732634983263,0.6451564868760218
Cryptophyta,LSTM_KAN,2,train,0.668533476878423,0.438845647347151,0.5390732227247046,0.5124445817751178
Cryptophyta,LSTM_KAN,3,train,0.7444599395681127,0.4993391939556656,0.4284006670173708,0.4098021922413412
Cryptophyta,LSTM_KAN,1,val,0.3536180375683672,0.259260127241867,0.47720420657927287,0.7055777533426504
Cryptophyta,LSTM_KAN,2,val,0.4359574965789316,0.3141359604237064,0.19533059410189657,0.4769417781309616
Cryptophyta,LSTM_KAN,3,val,0.4817430535906256,0.3548017599486383,-0.020993733962295424,0.2785064712806211
Cryptophyta,LSTM_KAN,1,test,0.4800229986176126,0.3378164310198017,0.16217901636411736,0.40151742944512125
Cryptophyta,LSTM_KAN,2,test,0.5164776037104069,0.36838876654582403,0.04391570498177033,0.2807111265115968
Cryptophyta,LSTM_KAN,3,test,0.5380443268003487,0.3834767161908697,-0.03925740279648515,0.1790487335921752
Algae_Sum,LSTM_FC,1,train,0.2758782802719843,0.19029798571151685,0.7619872370409402,0.8321972569151603
Algae_Sum,LSTM_FC,2,train,0.3728457341539323,0.2648976488417409,0.565078109158184,0.6493616853400007
Algae_Sum,LSTM_FC,3,train,0.4338674564572358,0.3104259517276417,0.4097624783704301,0.4730549382369341
Algae_Sum,LSTM_FC,1,val,0.26048992649845326,0.1847129382893826,0.5858237446317025,0.7110113773495386
Algae_Sum,LSTM_FC,2,val,0.34269669118042145,0.2580961478507787,0.29011834807404335,0.48901985015760197
Algae_Sum,LSTM_FC,3,val,0.4038204635282278,0.3218270599736741,0.00788507655692583,0.2870049411334089
Algae_Sum,LSTM_FC,1,test,0.3345795928832476,0.2496919728497842,0.47149489653045595,0.5332464213599175
Algae_Sum,LSTM_FC,2,test,0.3948013329090519,0.3033456330323882,0.2782535789638073,0.36111516332150195
Algae_Sum,LSTM_FC,3,test,0.430689581025673,0.3325792561345956,0.15044388769623007,0.22023566058147515
Algae_Sum,LSTM_MLP,1,train,0.2853976464644277,0.2003617097618266,0.7452782672071152,0.7605543984630291
Algae_Sum,LSTM_MLP,2,train,0.3761743418999134,0.2647583757380917,0.5572778507886997,0.6088605341429035
Algae_Sum,LSTM_MLP,3,train,0.43825713565690533,0.3095300803660164,0.3977585338779589,0.44912160721337013
Algae_Sum,LSTM_MLP,1,val,0.25804630235693987,0.1877433012536946,0.5935579703547771,0.7111566947479995
Algae_Sum,LSTM_MLP,2,val,0.3334763492812179,0.2551567977679379,0.32780356376750097,0.4936868585711498
Algae_Sum,LSTM_MLP,3,val,0.3855217516373024,0.3095164680491521,0.09576125982096118,0.30358773670272443
Algae_Sum,LSTM_MLP,1,test,0.36152749762227016,0.26483489330430554,0.3829320943200393,0.439838675851537
Algae_Sum,LSTM_MLP,2,test,0.3973014348745058,0.29877697926082086,0.26908363523055134,0.32274503839008295
Algae_Sum,LSTM_MLP,3,test,0.42618024502387736,0.322769659278346,0.16814052638822685,0.2074389181451286
Algae_Sum,LSTM_KAN,1,train,0.2803350309602244,0.19529347804798622,0.7542350374794099,0.8445624125599667
Algae_Sum,LSTM_KAN,2,train,0.37096623567280945,0.26450198107985334,0.5694519004184251,0.6798718911252983
Algae_Sum,LSTM_KAN,3,train,0.42646849909720314,0.3086015443441645,0.42972205204553104,0.519665536921909
Algae_Sum,LSTM_KAN,1,val,0.26854471660085466,0.19621000063681948,0.5598136656633068,0.6450858388021649
Algae_Sum,LSTM_KAN,2,val,0.3464500249046496,0.2608404870121963,0.2744834519278563,0.46232914966807204
Algae_Sum,LSTM_KAN,3,val,0.4038665250831212,0.32059794042945555,0.007658733583189026,0.27868741865255153
Algae_Sum,LSTM_KAN,1,test,0.3943883541051646,0.29551941814793947,0.26565785625558036,0.41783438198521883
Algae_Sum,LSTM_KAN,2,test,0.4146568602136016,0.3135586575453547,0.20383124824724264,0.3361380149112677
Algae_Sum,LSTM_KAN,3,test,0.43439614394625387,0.3286519078345433,0.1357582144850693,0.23836801957351728
