model,horizon,target,dataset,method,nRMSE,nMAE,NSE,KGE
LSTM-KAN,3,Algae_Sum,val,DynamicWLS,0.5173288349872635,0.43500179989541343,-0.6282410904229812,0.15180177743108336
LSTM-KAN,3,Green_Algae,val,Base,1.0477650728565961,0.853543077360177,0.010596365935482521,0.2748366922769533
LSTM-KAN,3,Green_Algae,val,DynamicWLS,1.0434975615177582,0.8507870787240266,0.018639567054269723,0.27513202651351154
LSTM-KAN,3,Cyanobacteria,val,Base,0.40969697873298355,0.3191801166142329,0.008552104589222509,0.2592243382746362
LSTM-KAN,3,Cyanobacteria,val,DynamicWLS,0.4096990999835873,0.3191819046610814,0.008541837904329053,0.25921952021260597
LSTM-KAN,3,Diatoms,val,Base,1.221044391220389,0.9156093109896698,0.22277359746575331,0.30948116162299744
LSTM-KAN,3,Diatoms,val,DynamicWLS,1.2210456848161257,0.9156100679882224,0.2227719506504523,0.30947934932267274
LSTM-KAN,3,Cryptophyta,val,Base,0.6436742370658343,0.5239035495897852,-0.8227385790605612,0.21474495953643424
LSTM-KAN,3,Cryptophyta,val,DynamicWLS,0.64367413468769,0.523903209679734,-0.8227379992375154,0.21474550055558528
LSTM-KAN,1,Algae_Sum,test,Base,0.3127003861677677,0.2507940352032371,0.5383560794095236,0.5182514681186805
LSTM-KAN,1,Algae_Sum,test,DynamicWLS,0.2990550731658054,0.23782340662510237,0.5777665518787092,0.5506993437804532
LSTM-KAN,1,Green_Algae,test,Base,3.6415570096638334,3.1450097601991183,-2.0960474623350267,-1.914516188559571
LSTM-KAN,1,Green_Algae,test,DynamicWLS,3.636134263801143,3.1453547049298622,-2.0868335035937906,-1.92072708158477
LSTM-KAN,1,Cyanobacteria,test,Base,0.4031506169876173,0.32321756925298273,0.38299467351263994,0.3755784697306014
LSTM-KAN,1,Cyanobacteria,test,DynamicWLS,0.4029704557123821,0.3230101407464275,0.3835460090378072,0.37631710582071176
LSTM-KAN,1,Diatoms,test,Base,0.7773519801265918,0.5788422058279445,0.22683459821535934,0.21413385928304263
LSTM-KAN,1,Diatoms,test,DynamicWLS,0.7773502316891645,0.5788326246385483,0.2268380762532115,0.2141383175773749
LSTM-KAN,1,Cryptophyta,test,Base,0.428274427303302,0.31925629154433205,0.33308356455574895,0.4805553893252461
LSTM-KAN,1,Cryptophyta,test,DynamicWLS,0.42827447049388856,0.3192561576515135,0.33308343004146745,0.4805558271324023
LSTM-KAN,2,Algae_Sum,test,Base,0.3932064220603648,0.3171505701322668,0.2840732003996892,0.3119147428937932
LSTM-KAN,2,Algae_Sum,test,DynamicWLS,0.3858613877924108,0.3113835087743944,0.31057018794852975,0.32902723262913236
LSTM-KAN,2,Green_Algae,test,Base,3.7852499477860952,3.295462588915936,-2.29159826757355,-2.019346727644685
LSTM-KAN,2,Green_Algae,test,DynamicWLS,3.7662590145278236,3.279792218117456,-2.2586526426000053,-2.004975228048474
LSTM-KAN,2,Cyanobacteria,test,Base,0.4702858424514017,0.38223726978703026,0.17197079831105055,0.21100646943982304
