model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3,val_nRMSE_Green_Algae,val_nRMSE_Cyanobacteria,val_nRMSE_Diatoms,val_nRMSE_Cryptophyta,val_nRMSE_Algae_Sum
KAN,trial_0001,baseline,30,,,0.0,0.002,64,0.0,,,64,5,3,2,0.4861166322520035,0.326099116177786,0.8475537126717728,0.6753933375440515,-0.48066290532256356,0.07111806718381829,0.8357024221739326,0.8407309462021664,0.8662277696392188,1.182258308496176,0.49040696216922425,1.351813787785363,0.6599121786194884,0.5533773262886114
KAN,trial_0002,kan_hidden_dim,30,,,0.0,0.002,64,0.0,,,32,5,3,2,0.522854140885561,0.33973446772212074,0.8375152457018747,0.6657263225913506,-0.5216474909669602,0.07591386688239822,0.8450881756540973,0.8026575297885031,0.8648000316630237,1.1181717432166383,0.5459521698826683,1.3022367309712894,0.7247683699765788,0.4964472144621988
KAN,trial_0003,kan_hidden_dim,30,,,0.0,0.002,64,0.0,,,128,5,3,1,0.6783132174642028,0.3661614500340961,0.9112570999600591,0.7483580664419075,-0.7266852640767196,-0.006771254376379384,0.8466586007945462,0.9006749044843719,0.9864377946012592,1.372384310009348,0.4808618788916153,1.3640793438256795,0.7794634687896139,0.5594964982840388
KAN,trial_0004,grid_size,30,,,0.0,0.002,64,0.0,,,32,3,3,2,0.5393783982237318,0.32772657417115714,0.8464803719298363,0.681140608098994,-0.46536754631594496,0.08495266090484063,0.8181545086296182,0.84307801784356,0.878208589316331,1.1772633379188806,0.5081563157981266,1.3682133179667837,0.6480273931107662,0.5307414948546245
KAN,trial_0005,grid_size,30,,,0.0,0.002,64,0.0,,,32,7,3,2,0.5181838249252742,0.3019848125321524,0.8138479870041148,0.6458046839652709,-0.3548910100938493,0.04233981023128656,0.8029351279425845,0.8266066535910255,0.8120021794787344,1.1640480487066462,0.49028486170833324,1.2828942429779262,0.6428715576363686,0.4891412239912997
KAN,trial_0006,spline_order,30,,,0.0,0.002,64,0.0,,,32,7,2,2,0.5190487869058101,0.303414686804726,0.8156343145088373,0.6479531044869521,-0.3625010576516209,0.04015878896411134,0.8045771358850173,0.8281080221785906,0.8142177854629038,1.1643078806449412,0.490477633933881,1.2858985001256389,0.6472477454667122,0.490239812373013
KAN,trial_0007,lr,30,,,0.0,0.001,64,0.0,,,32,7,3,3,0.5189226499684542,0.30540988133067176,0.8158199948848015,0.6606695410231818,-0.396294880600311,0.02710989921547402,0.7958061899946366,0.8197435071341348,0.8319102875256329,1.1435515566920678,0.4770568747308224,1.2682488608773768,0.6713618093888205,0.5188808727349198
KAN,trial_0008,lr,30,,,0.0,0.003,64,0.0,,,32,7,3,3,0.3704975756291287,0.3222023319630396,0.8414866627427645,0.6542245785212784,-0.5128601049574457,0.046943504077529036,0.813653888318733,0.8544479834188854,0.8563581164906753,1.2311328756605515,0.47107466321426994,1.2360993150035762,0.7490424755193322,0.5200839843160928
KAN,trial_0009,dropout,30,,,0.1,0.002,64,0.0,,,32,7,3,2,0.5299321293418383,0.3080483703386216,0.8176616275763404,0.6516178927459962,-0.3813564532469555,0.040529470369500435,0.8084336742209957,0.8264362431902711,0.8181149653177544,1.1542398276676777,0.4994441835447086,1.286019002002697,0.6570110635695828,0.4915940610970357
KAN,trial_0010,dropout,30,,,0.2,0.002,64,0.0,,,32,7,3,2,0.5501459919457617,0.31018688139461337,0.8146211166941154,0.6500057395995464,-0.3799053842584884,0.04154802976803226,0.7988003681680595,0.8234470913036359,0.8216158906106514,1.139834165607547,0.5130757444049796,1.2827187868431726,0.6488909340178969,0.48858595259698223
KAN,trial_0011,batch_size,30,,,0.0,0.002,32,0.0,,,32,7,3,2,0.4291759972753822,0.32452188503174556,0.8337765200462204,0.6707592890596101,-0.5309703204909668,0.04073630218796577,0.8050871414412475,0.8471171279107242,0.8491252907866892,1.1899551137527764,0.4780161402659668,1.204449631382758,0.7868785847395142,0.5095831300900863
KAN,trial_0012,weight_decay,30,,,0.0,0.002,64,0.0001,,,32,7,3,2,0.5209257334573871,0.3025132772468385,0.8144226102132096,0.6494507055534134,-0.35764245502789077,0.04620518856633789,0.8003044294698652,0.8287589236408834,0.81420447752888,1.1636443319249326,0.49031169919423173,1.2842631036017043,0.6410742274394636,0.49281968890571576
