model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3,val_nRMSE_Green_Algae,val_nRMSE_Cyanobacteria,val_nRMSE_Diatoms,val_nRMSE_Cryptophyta,val_nRMSE_Algae_Sum
LSTM_FC,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,,,,2,0.49417744973951555,0.255962263970148,0.7261603596781784,0.5714201016957484,-0.1788895497517634,0.2519699536710768,0.6511391166302152,0.7332844920428256,0.7940574703614943,0.8660163402213238,0.43381040976013363,1.1861614331304189,0.7026485417186582,0.4421650735603572
LSTM_FC,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,,,,6,0.3414558638338399,0.2586062181563604,0.7425506857844921,0.5680615114178666,-0.24083872049705016,0.33439632795527036,0.5929472470850446,0.7510754191199055,0.8836293911485262,1.0376919049318067,0.3947266152683005,1.1032377306470094,0.6836713527973618,0.49342582527798196
LSTM_FC,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,,,,7,0.342180981407116,0.2729442162173135,0.7688664105024543,0.5853069221519495,-0.3004864708734506,0.3231821686033861,0.652688218020064,0.779015626880401,0.8748953866068977,1.0937760975524387,0.4176357807547874,1.1403465408913729,0.7236654156871456,0.46890821762652685
LSTM_FC,trial_0004,hidden_dim,30,1,128,0.0,0.002,64,0.0,,,,,,2,0.5483879393359782,0.22955405428296044,0.7072983710443864,0.5553318518800523,0.027286794443615644,0.2520865765435886,0.6682314658321973,0.702345075459189,0.7513185718417726,0.9377081925816673,0.45044182073746764,1.2616871859235232,0.4706760472018967,0.4159786087773767
LSTM_FC,trial_0005,lr,30,1,128,0.0,0.001,64,0.0,,,,,,8,0.35897911953575473,0.2248380212556748,0.6898998972491382,0.526796626580164,-0.01471975295274283,0.3080910794736944,0.6139170987780049,0.683332787766744,0.772449805202666,0.9084902631071609,0.42018379025340075,1.1125765620118686,0.55943532249009,0.44881354838317106
LSTM_FC,trial_0006,lr,30,1,128,0.0,0.003,64,0.0,,,,,,6,0.32014479470088,0.23243586080414907,0.6988324085381866,0.5288937137639993,-0.10978605259058737,0.3869942361881929,0.5443673737300293,0.6973854294407819,0.8547444224437489,0.9617353017143343,0.3814224749939173,1.0433106943326083,0.6330106616774677,0.4746829099726059
LSTM_FC,trial_0007,dropout,30,1,128,0.1,0.001,64,0.0,,,,,,8,0.3775387377732765,0.22372942666212717,0.6971246544833637,0.5238715873566574,-0.007597332582850809,0.2659758709196903,0.6349519668109824,0.6945870494087993,0.7618349472303091,0.926753437207962,0.4113440372054435,1.149398691045576,0.5627482319117844,0.4353788750460521
LSTM_FC,trial_0008,dropout,30,1,128,0.2,0.001,64,0.0,,,,,,8,0.3902813014944944,0.22685326990627108,0.7006026359621448,0.5311294253609743,-0.028704907799880625,0.2625055424088066,0.6377058243174766,0.7007059734922121,0.7633961100767451,0.9019468494360359,0.40650245980608984,1.1658148646099724,0.5913790195407901,0.4373699864178351
LSTM_FC,trial_0009,batch_size,30,1,128,0.0,0.001,32,0.0,,,,,,6,0.34553319937630095,0.24401459239778064,0.7120834300083111,0.5455774868215476,-0.17673827649807258,0.30881224026920306,0.6016903956805888,0.704822774250455,0.829737120093889,0.949190164601279,0.3899484796489836,1.0468805018315237,0.6859879258171658,0.48841007814260307
LSTM_FC,trial_0010,weight_decay,30,1,128,0.0,0.001,64,0.0001,,,,,,8,0.3621269804280522,0.22120518059957595,0.6828475708906248,0.5225162693056403,0.0047567320213084555,0.3148898056896944,0.6068285444164162,0.6783063719434993,0.7634077963119589,0.9009467429067807,0.42141756335700364,1.0978442326477655,0.5517678709119558,0.4422614446296185
