model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3,val_nRMSE_Green_Algae,val_nRMSE_Cyanobacteria,val_nRMSE_Diatoms,val_nRMSE_Cryptophyta,val_nRMSE_Algae_Sum
LSTM_KAN,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,64,5,3,7,0.3482112690651705,0.21313607337928953,0.6889385809421998,0.5056112656799163,0.012729300979142162,0.3235375336403027,0.5893564207295607,0.6972908745515893,0.7801684475454491,0.9556338876294846,0.37283006600367224,1.1109967191803956,0.5970953798482751,0.4081368520491715
LSTM_KAN,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,64,5,3,9,0.30327890210085673,0.2511309598173414,0.7365704753505623,0.5829073368905343,-0.1349656175540891,0.2750423003044928,0.6505383084239537,0.741383612119822,0.817789505507912,0.9193320484606519,0.42402439102675243,1.255833869122011,0.6246149893510639,0.4590470787923333
LSTM_KAN,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,64,5,3,17,0.2572266643022583,0.25230559139024644,0.7580308706116029,0.5765110673815581,-0.11333559770175301,0.17001481311192781,0.7084510458517286,0.7570600740480472,0.8085814919350328,0.9197927579533435,0.40070351565597506,1.4220994975574468,0.6016660311325286,0.44589255075872036
LSTM_KAN,trial_0004,hidden_dim,30,1,128,0.0,0.002,64,0.0,,,64,5,3,3,0.48604483165130485,0.23054784607319606,0.7159404283178437,0.533530424840279,0.024464471871116215,0.15648309721810466,0.6881944757814208,0.7199583164829368,0.7396684926891736,0.8863483127825802,0.43048618662915383,1.3555380454103074,0.5124400023203545,0.39488959444682264
LSTM_KAN,trial_0005,kan_hidden_dim,30,1,256,0.0,0.002,64,0.0,,,32,5,3,4,0.4137840521583095,0.22494398483208247,0.704375344633263,0.5670786314007702,0.02076429743803539,0.2767921033770725,0.6396727844091423,0.7137293570670076,0.7597238924236388,0.9675072639179599,0.4318415696677906,1.2058429606085372,0.5000764359988054,0.4166084929732213
LSTM_KAN,trial_0006,kan_hidden_dim,30,1,256,0.0,0.002,64,0.0,,,128,5,3,7,0.3383142379431576,0.21729676567372821,0.6762261858491438,0.5148843947261756,-0.006843142918745274,0.38341989717861025,0.5555084355432439,0.6924024794389794,0.7807676425652085,0.865637424755317,0.3880988979285723,1.0845422273052912,0.6068045898925328,0.436047789364006
LSTM_KAN,trial_0007,grid_size,30,1,256,0.0,0.002,64,0.0,,,128,3,3,4,0.39762118829987864,0.23278236247244335,0.7160972761050934,0.5789474123193245,-0.04856873143554466,0.2102569572832471,0.6427446610422944,0.721381824336955,0.7841653429360308,0.9007101049939905,0.3992171150948494,1.2496445298872514,0.5690338595178436,0.46188077103153197
LSTM_KAN,trial_0008,grid_size,30,1,256,0.0,0.002,64,0.0,,,128,7,3,7,0.3278669088975781,0.21527068033104851,0.6849651216829334,0.5062091574647448,-0.00031848256971905484,0.4145954561826221,0.5588692089631633,0.6989181587692979,0.7971079973163391,0.917261776382956,0.37297859430306723,1.1078795224140063,0.5975462370360941,0.4291594782785435
LSTM_KAN,trial_0009,spline_order,30,1,256,0.0,0.002,64,0.0,,,128,5,2,7,0.3363929356876954,0.21695264180501303,0.6769293605918019,0.5126158080979786,-0.002408172915361713,0.3789056673876328,0.5583949204623534,0.6940884678742482,0.7783046934388045,0.8664384931945088,0.38852864102530393,1.0929275462822752,0.6018634957814335,0.43488862667548817
LSTM_KAN,trial_0010,lr,30,1,256,0.0,0.001,64,0.0,,,128,5,3,7,0.37925683817855216,0.2228631384315945,0.7003420930315478,0.5382173790542168,5.531221883656734e-05,0.2872116524374704,0.6339681983785993,0.705392927623567,0.7616651530924772,0.9010760568168174,0.40080930654647706,1.2033631798266968,0.5633431713240491,0.4331187506436986
LSTM_KAN,trial_0011,lr,30,1,256,0.0,0.003,64,0.0,,,128,5,3,4,0.37552398484470934,0.2139249330475217,0.669469169954864,0.5334952704757724,0.012123822631764902,0.3403006479737716,0.5641504256765119,0.6798032046773859,0.7644538795106943,0.7996091563351957,0.38112052044871697,1.1219167839591282,0.6163085144123076,0.42839087461897174
LSTM_KAN,trial_0012,dropout,30,1,256,0.1,0.003,64,0.0,,,128,5,3,4,0.38039941162799057,0.2161488419487363,0.6724425337102669,0.5391026780169442,0.014492127453374797,0.3324573329379901,0.569639480902043,0.6819805136978678,0.7657076065308897,0.8050272134209816,0.3944596180026618,1.1356940705408038,0.5979123088028065,0.4291194577840802
LSTM_KAN,trial_0013,dropout,30,1,256,0.2,0.003,64,0.0,,,128,5,3,10,0.27443814824196705,0.2163116584221522,0.6727651761684404,0.5046999091337201,-0.01788877841272125,0.4048082630499047,0.5567762754212067,0.6830308945876867,0.7784883584964277,0.8508226763613953,0.3769233839502584,1.0636204167175716,0.6488928518931861,0.4235665519197906
LSTM_KAN,trial_0014,batch_size,30,1,256,0.0,0.003,32,0.0,,,128,5,3,3,0.3834563903123862,0.20180449457395644,0.6561503600160513,0.515560935276777,0.06510303133351773,0.4073999831439268,0.5291126585474386,0.670673675642432,0.7686647458582836,0.8457540352087598,0.36575689318023336,1.0684133310311388,0.5678781222464467,0.4329494184136784
LSTM_KAN,trial_0015,weight_decay,30,1,256,0.0,0.003,32,0.0001,,,128,5,3,2,0.4300618107756116,0.20628905863988967,0.6668577809539479,0.5122205274037943,0.0941459827363636,0.3938352021342405,0.575151716505079,0.6710297193777687,0.7543919069789959,0.8467779367327628,0.4057231887281844,1.166550551577892,0.5364658349169146,0.37877139281398603
