epoch,train_loss,val_loss
1,3.1080210365638603,1.5781336284819103
2,3.1055666418636547,1.5814689681643532
3,3.104398292653701,1.5732647804986863
4,3.103684299957381,1.5808836164928617
5,3.103138600253729,1.575402645837693
6,3.1018959584945627,1.5758275985717773
7,3.1009912284600283,1.5598262491680326
8,3.099871531489811,1.5568332785651797
9,3.0988013315365803,1.5635266644614083
10,3.0985467673173,1.5467547462100075
11,3.098212308949665,1.5558876310076033
12,3.0985170747169573,1.5546134426480247
13,3.0989845310527975,1.5502125649225145
14,3.09813551754275,1.5460469041551863
15,3.0984966961157774,1.5609793549492246
16,3.098241069325114,1.553553649357387
17,3.097191425343286,1.550941717057001
18,3.0981175973753614,1.544779891059512
19,3.0963944328697495,1.5416703451247442
20,3.0970549377190615,1.542877129146031
21,3.097451030176816,1.5444784618559337
22,3.0979457380037405,1.5436303502037412
23,3.0981767911812015,1.5432137080601283
24,3.096483068895175,1.5425414130801247
25,3.0973592497485734,1.5418189707256498
26,3.096765948001901,1.5421142351059687
27,3.09711761746852,1.5440925984155565
28,3.09741584074951,1.5442011129288447
29,3.0983749937433687,1.541178964433216
30,3.096674080950991,1.5432011172884987
31,3.0972353892342857,1.5439990815662203
32,3.0972700700627893,1.541272072564988
33,3.0975396179410413,1.5446216265360515
34,3.096488437025605,1.5457381975083124
35,3.0962184506716612,1.543188492457072
36,3.0968036247372215,1.547621250152588
37,3.097165402656608,1.54175903683617
38,3.0968713801624865,1.5450793447948636
39,3.096170598660373,1.5413528964633034
40,3.0964504698981052,1.5405196008228121
41,3.0969618835251222,1.542937891823905
42,3.096192584318273,1.540957939057123
43,3.095444103425762,1.5482129482995897
44,3.096651674554422,1.5404576233455114
45,3.095254772674666,1.54511943317595
46,3.0966269054214846,1.5425592944735573
47,3.097046365787414,1.5467140106927781
48,3.0964916717634896,1.540047668275379
49,3.0961352947673997,1.545329252878825
50,3.095223104252535,1.5479357469649542
51,3.094681607398195,1.5423698765890939
52,3.0963418425985685,1.5420794941130138
53,3.0946046802824343,1.543691181001209
54,3.095947744112114,1.5431225526900518
55,3.0961761136368486,1.554897387822469
56,3.0966372572426977,1.5404346783955891
57,3.095022766235378,1.544897158940633
58,3.095049318557792,1.5479615983508883
59,3.0957187740035534,1.5511361417316256
60,3.0940376866647528,1.5425345102945964
61,3.0958834606058456,1.5477924687521798
62,3.096712737759917,1.5418143612997872
63,3.0947846244363224,1.543826012384324
64,3.095303724381338,1.5471626236325218
65,3.0947885166814997,1.5407305217924572
66,3.0949935269603266,1.5488990488506498
67,3.0959401295671825,1.545844316482544
68,3.0943517668436966,1.5409526370820545
